"Fecha","Festivo"
"1/1/2017","Año Nuevo"
"1/6/2017","Día de Reyes"
"2/14/2017","Día de San Valentín"
"3/19/2017","Día del Padre"
"4/9/2017","Domingo de Ramos"
"4/10/2017","Lunes Santo"
"4/11/2017","Martes Santo"
"4/12/2017","Miércoles Santo"
"4/13/2017","Jueves Santo"
"4/14/2017","Viernes Santo"
"4/15/2017","Sábado Santo"
"4/16/2017","Domingo de Resurrección"
"5/7/2017","Día de la Madre"
"5/3/2017","Día de la Cruz"
"6/24/2017","Día de San Juan"
"7/16/2017","Día de la Virgen del Carmen"
"8/19/2017","Día de la Victoria"
"8/12/2017","Feria de Málaga"
"8/13/2017","Feria de Málaga"
"8/14/2017","Feria de Málaga"
"8/15/2017","Feria de Málaga"
"8/16/2017","Feria de Málaga"
"8/17/2017","Feria de Málaga"
"8/18/2017","Feria de Málaga"
"8/19/2017","Feria de Málaga"
"9/8/2017","Fiesta de la Virgen de la Victoria"
"10/12/2017","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2017","Noche de Halloween"
"11/1/2017","Día de Todos los Santos"
"12/6/2017","Día de la Constitución"
"12/24/2017","Nochebuena"
"12/25/2017","Navidad"
"12/31/2017","Nochevieja"
"1/1/2018","Año Nuevo"
"1/6/2018","Día de Reyes"
"2/14/2018","Día de San Valentín"
"3/19/2018","Día del Padre"
"3/25/2018","Domingo de Ramos"
"3/26/2018","Lunes Santo"
"3/27/2018","Martes Santo"
"3/28/2018","Miércoles Santo"
"3/29/2018","Jueves Santo"
"3/30/2018","Viernes Santo"
"3/31/2018","Sábado Santo"
"4/1/2018","Domingo de Resurrección"
"5/6/2018","Día de la Madre"
"5/3/2018","Día de la Cruz"
"6/24/2018","Día de San Juan"
"7/16/2018","Día de la Virgen del Carmen"
"8/19/2018","Día de la Victoria"
"8/11/2018","Feria de Málaga"
"8/12/2018","Feria de Málaga"
"8/13/2018","Feria de Málaga"
"8/14/2018","Feria de Málaga"
"8/15/2018","Feria de Málaga"
"8/16/2018","Feria de Málaga"
"8/17/2018","Feria de Málaga"
"8/18/2018","Feria de Málaga"
"8/19/2018","Feria de Málaga"
"9/8/2018","Fiesta de la Virgen de la Victoria"
"10/12/2018","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2018","Noche de Halloween"
"11/1/2018","Día de Todos los Santos"
"12/6/2018","Día de la Constitución"
"12/24/2018","Nochebuena"
"12/25/2018","Navidad"
"12/31/2018","Nochevieja"
"1/1/2019","Año Nuevo"
"1/6/2019","Día de Reyes"
"2/14/2019","Día de San Valentín"
"3/19/2019","Día del Padre"
"4/14/2019","Domingo de Ramos"
"4/15/2019","Lunes Santo"
"4/16/2019","Martes Santo"
"4/17/2019","Miércoles Santo"
"4/18/2019","Jueves Santo"
"4/19/2019","Viernes Santo"
"4/20/2019","Sábado Santo"
"4/21/2019","Domingo de Resurrección"
"5/5/2019","Día de la Madre"
"5/3/2019","Día de la Cruz"
"6/24/2019","Día de San Juan"
"7/16/2019","Día de la Virgen del Carmen"
"8/19/2019","Día de la Victoria"
"8/15/2019","Feria de Málaga"
"8/16/2019","Feria de Málaga"
"8/17/2019","Feria de Málaga"
"8/18/2019","Feria de Málaga"
"8/19/2019","Feria de Málaga"
"8/20/2019","Feria de Málaga"
"8/21/2019","Feria de Málaga"
"8/22/2019","Feria de Málaga"
"8/23/2019","Feria de Málaga"
"8/24/2019","Feria de Málaga"
"9/8/2019","Fiesta de la Virgen de la Victoria"
"10/12/2019","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2019","Noche de Halloween"
"11/1/2019","Día de Todos los Santos"
"12/6/2019","Día de la Constitución"
"12/24/2019","Nochebuena"
"12/25/2019","Navidad"
"12/31/2019","Nochevieja"
"1/1/2020","Año Nuevo"
"1/6/2020","Día de Reyes"
"2/14/2020","Día de San Valentín"
"3/19/2020","Día del Padre"
"4/5/2020","Domingo de Ramos"
"4/6/2020","Lunes Santo"
"4/7/2020","Martes Santo"
"4/8/2020","Miércoles Santo"
"4/9/2020","Jueves Santo"
"4/10/2020","Viernes Santo"
"4/11/2020","Sábado Santo"
"4/12/2020","Domingo de Resurrección"
"5/3/2020","Día de la Madre"
"5/3/2020","Día de la Cruz"
"6/24/2020","Día de San Juan"
"7/16/2020","Día de la Virgen del Carmen"
"8/19/2020","Día de la Victoria"
"9/8/2020","Fiesta de la Virgen de la Victoria"
"10/12/2020","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2020","Noche de Halloween"
"11/1/2020","Día de Todos los Santos"
"12/6/2020","Día de la Constitución"
"12/24/2020","Nochebuena"
"12/25/2020","Navidad"
"12/31/2020","Nochevieja"
"1/1/2021","Año Nuevo"
"1/6/2021","Día de Reyes"
"2/14/2021","Día de San Valentín"
"3/19/2021","Día del Padre"
"3/28/2021","Domingo de Ramos"
"3/29/2021","Lunes Santo"
"3/30/2021","Martes Santo"
"3/31/2021","Miércoles Santo"
"4/1/2021","Jueves Santo"
"4/2/2021","Viernes Santo"
"4/3/2021","Sábado Santo"
"4/4/2021","Domingo de Resurrección"
"5/2/2021","Día de la Madre"
"5/3/2021","Día de la Cruz"
"6/24/2021","Día de San Juan"
"7/16/2021","Día de la Virgen del Carmen"
"8/19/2021","Día de la Victoria"
"9/8/2021","Fiesta de la Virgen de la Victoria"
"10/12/2021","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2021","Noche de Halloween"
"11/1/2021","Día de Todos los Santos"
"12/6/2021","Día de la Constitución"
"12/24/2021","Nochebuena"
"12/25/2021","Navidad"
"12/31/2021","Nochevieja"
"1/1/2022","Año Nuevo"
"1/6/2022","Día de Reyes"
"2/14/2022","Día de San Valentín"
"3/19/2022","Día del Padre"
"4/10/2022","Domingo de Ramos"
"4/11/2022","Lunes Santo"
"4/12/2022","Martes Santo"
"4/13/2022","Miércoles Santo"
"4/14/2022","Jueves Santo"
"4/15/2022","Viernes Santo"
"4/16/2022","Sábado Santo"
"4/17/2022","Domingo de Resurrección"
"5/1/2022","Día de la Madre"
"5/3/2022","Día de la Cruz"
"6/24/2022","Día de San Juan"
"7/16/2022","Día de la Virgen del Carmen"
"8/19/2022","Día de la Victoria"
"8/13/2022","Feria de Málaga"
"8/14/2022","Feria de Málaga"
"8/15/2022","Feria de Málaga"
"8/16/2022","Feria de Málaga"
"8/17/2022","Feria de Málaga"
"8/18/2022","Feria de Málaga"
"8/19/2022","Feria de Málaga"
"8/20/2022","Feria de Málaga"
"9/8/2022","Fiesta de la Virgen de la Victoria"
"10/12/2022","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2022","Noche de Halloween"
"11/1/2022","Día de Todos los Santos"
"12/6/2022","Día de la Constitución"
"12/24/2022","Nochebuena"
"12/25/2022","Navidad"
"12/31/2022","Nochevieja"
"1/1/2023","Año Nuevo"
"1/6/2023","Día de Reyes"
"2/14/2023","Día de San Valentín"
"3/19/2023","Día del Padre"
"4/2/2023","Domingo de Ramos"
"4/3/2023","Lunes Santo"
"4/4/2023","Martes Santo"
"4/5/2023","Miércoles Santo"
"4/6/2023","Jueves Santo"
"4/7/2023","Viernes Santo"
"4/8/2023","Sábado Santo"
"4/9/2023","Domingo de Resurrección"
"5/7/2023","Día de la Madre"
"5/3/2023","Día de la Cruz"
"6/24/2023","Día de San Juan"
"7/16/2023","Día de la Virgen del Carmen"
"8/19/2023","Día de la Victoria"
"8/12/2023","Feria de Málaga"
"8/13/2023","Feria de Málaga"
"8/14/2023","Feria de Málaga"
"8/15/2023","Feria de Málaga"
"8/16/2023","Feria de Málaga"
"8/17/2023","Feria de Málaga"
"8/18/2023","Feria de Málaga"
"8/19/2023","Feria de Málaga"
"9/8/2023","Fiesta de la Virgen de la Victoria"
"10/12/2023","Día de la Hispanidad (Fiesta Nacional de España)"
"10/31/2023","Noche de Halloween"
"11/1/2023","Día de Todos los Santos"
"12/6/2023","Día de la Constitución"
"12/24/2023","Nochebuena"
"12/25/2023","Navidad"
"12/31/2023","Nochevieja"
